,manufact,model,sales,resale,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales,partition
0,Acura,Integra,16.919,16.36,0.0,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,2.828,0.0
1,Acura,TL,39.384,19.875,0.0,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,3.673,0.0
2,Acura,CL,14.114,18.225,0.0,28.961138155021576,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26.0,2.647,0.0
3,Acura,RL,8.588,29.725,0.0,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,2.15,0.0
4,Audi,A4,20.397,22.255,0.0,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,3.015,0.0
5,Audi,A6,18.78,23.555,0.0,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,2.933,0.0
6,Audi,A8,1.38,39.0,0.0,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,0.322,0.0
7,BMW,323i,19.747,20.612731344840256,0.0,26.99,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26.1,2.983,0.0
8,BMW,328i,9.231,28.675,0.0,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,2.223,0.0
9,BMW,528i,17.527,36.125,0.0,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,24.8,2.864,0.0
10,Buick,Century,91.561,12.475,0.0,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,4.517,0.0
11,Buick,Regal,39.35,13.74,0.0,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,3.672,0.0
12,Buick,Park Avenue,27.851,20.19,0.0,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,3.327,0.0
13,Buick,LeSabre,83.257,13.36,0.0,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,4.422,0.0
14,Cadillac,DeVille,63.729,22.525,0.0,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,4.155,0.0
15,Cadillac,Seville,15.943,27.1,0.0,44.475,4.6,275.0,112.2,75.0,201.0,3.9684031234805084,18.5,22.0,2.769,0.0
16,Cadillac,Eldorado,6.536,25.725,0.0,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,1.877,0.0
17,Cadillac,Catera,11.185,18.225,0.0,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,2.415,0.0
18,Cadillac,Escalade,14.785,32.155057759947894,1.0,46.225,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15.0,2.694,0.0
19,Chevrolet,Cavalier,145.519,9.25,0.0,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,4.98,0.0
20,Chevrolet,Malibu,135.126,11.225,0.0,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,4.906,0.0
21,Chevrolet,Lumina,24.629,10.31,0.0,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,3.204,0.0
22,Chevrolet,Monte Carlo,42.593,11.525,0.0,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,3.752,0.0
23,Chevrolet,Camaro,26.402,13.025,0.0,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,3.273,0.0
24,Chevrolet,Corvette,17.947,36.225,0.0,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,2.887,0.0
25,Chevrolet,Prizm,32.299,9.125,0.0,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,3.475,0.0
26,Chevrolet,Metro,21.855,5.16,0.0,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,3.084,0.0
27,Chevrolet,Impala,107.995,10.332686691322769,0.0,18.89,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27.0,4.682,0.0
28,Chrysler,Sebring Coupe,7.854,12.36,0.0,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,2.061,0.0
29,Chrysler,Sebring Conv.,32.775,14.18,0.0,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,3.49,0.0
30,Chrysler,Concorde,31.148,13.725,0.0,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,3.439,0.0
31,Chrysler,Cirrus,32.306,12.64,0.0,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,3.475,0.0
32,Chrysler,LHS,13.462,17.325,0.0,28.34,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,2.6,0.0
33,Chrysler,Town & Country,53.48,19.54,1.0,27.831737976052718,3.10585224968138,188.042123961966,107.79647262882432,71.28838162654091,187.80007591755833,3.455776166025094,18.12960032486964,23.825714517603313,3.979,0.0
34,Chrysler,300M,30.696,19.132388672362964,0.0,29.185,3.5,253.0,113.0,74.4,197.8,3.567,17.0,23.0,3.424,0.0
35,Dodge,Neon,76.034,7.75,0.0,12.64,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,4.331,0.0
36,Dodge,Avenger,4.734,12.545,0.0,19.045,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,1.555,0.0
37,Dodge,Stratus,71.186,10.185,0.0,20.23,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,4.265,0.0
38,Dodge,Intrepid,88.028,12.275,0.0,22.505,2.7,202.0,113.0,74.7,203.7,3.489,17.0,24.427450116527396,4.478,0.0
39,Dodge,Viper,0.916,58.47,0.0,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,-0.088,0.0
40,Dodge,Ram Pickup,227.061,15.06,1.0,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,5.425,0.0
41,Dodge,Ram Wagon,16.767,15.51,1.0,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,2.819,0.0
42,Dodge,Ram Van,31.038,13.425,1.0,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,3.435,0.0
43,Dodge,Dakota,111.313,11.26,1.0,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,4.712,0.0
44,Dodge,Durango,101.323,17.434553714419508,1.0,26.31,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17.0,4.618,0.0
45,Dodge,Caravan,181.749,12.025,1.0,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,5.203,0.0
46,Ford,Escort,70.227,7.425,0.0,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,4.252,0.0
47,Ford,Mustang,113.369,12.76,0.0,21.56,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0,4.731,0.0
48,Ford,Contour,35.068,8.835,0.0,17.035,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0,3.557,0.0
49,Ford,Taurus,245.815,10.055,0.0,17.885,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0,5.505,0.0
50,Ford,Focus,175.67,8.888180687461006,0.0,12.315,2.0,107.0,103.0,66.9,174.8,2.564,13.2,30.0,5.169,0.0
51,Ford,Crown Victoria,63.403,14.21,0.0,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,4.15,0.0
52,Ford,Explorer,276.747,16.64,1.0,31.93,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0,5.623,0.0
53,Ford,Windstar,155.787,13.175,1.0,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,5.048,0.0
54,Ford,Expedition,125.338,23.575,1.0,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,4.831,0.0
55,Ford,Ranger,220.65,7.85,1.0,12.05,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0,5.397,0.0
56,Ford,F-Series,540.561,15.075,1.0,26.935,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0,6.293,0.0
57,Honda,Civic,199.685,9.85,0.0,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,5.297,0.0
58,Honda,Accord,230.902,13.21,0.0,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,5.442,0.0
59,Honda,CR-V,73.203,17.71,1.0,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,4.293,0.0
60,Honda,Passport,12.855,17.525,1.0,26.6,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0,2.554,0.0
61,Honda,Odyssey,76.029,19.49,1.0,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,4.331,0.0
62,Hyundai,Accent,41.184,5.86,0.0,9.699,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,3.718,0.0
63,Hyundai,Elantra,66.692,7.825,0.0,11.799,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0,4.2,0.0
64,Hyundai,Sonata,29.45,8.91,0.0,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,3.383,0.0
65,Infiniti,I30,23.713,19.69,0.0,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,3.166,0.0
66,Jaguar,S-Type,15.467,31.372652240416123,0.0,42.8,3.0,240.0,114.5,71.6,191.3,3.65,18.4,21.0,2.739,0.0
67,Jeep,Wrangler,55.557,13.475,1.0,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,4.017,0.0
68,Jeep,Cherokee,80.556,13.775,1.0,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,4.389,0.0
69,Jeep,Grand Cherokee,157.04,18.81,1.0,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,5.057,0.0
70,Lexus,ES300,24.072,26.975,0.0,31.505,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0,3.181,0.0
71,Lexus,GS300,12.698,32.075,0.0,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,2.541,0.0
72,Lexus,GS400,3.334,34.79176154189977,0.0,46.305,4.0,300.0,110.2,70.9,189.2,3.693,19.8,21.0,1.204,0.0
73,Lexus,LS400,6.375,40.375,0.0,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,1.852,0.0
74,Lexus,LX470,9.126,44.08661304279951,1.0,60.105,4.7,230.0,112.2,76.4,192.5,5.401,25.4,15.0,2.211,0.0
75,Lexus,RX300,51.238,25.486413361380983,1.0,34.605,3.0,220.0,103.0,71.5,180.1,3.9,17.2,21.0,3.936,0.0
76,Lincoln,Continental,13.798,20.525,0.0,39.08,4.6,275.0,109.0,73.6,208.5,3.868,20.0,22.0,2.625,0.0
77,Lincoln,Town car,48.911,21.725,0.0,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,3.89,0.0
78,Lincoln,Navigator,22.925,29.152571110683095,1.0,42.66,5.4,300.0,119.0,79.9,204.8,5.393,30.0,15.0,3.132,0.0
79,Mitsubishi,Mirage,26.232,8.325,0.0,13.987,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0,3.267,0.0
80,Mitsubishi,Eclipse,42.541,10.395,0.0,19.047,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0,3.75,0.0
81,Mitsubishi,Galant,55.616,10.595,0.0,17.357,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0,4.018,0.0
82,Mitsubishi,Diamante,5.711,16.575,0.0,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,1.742,0.0
83,Mitsubishi,3000GT,0.11,20.94,0.0,25.45,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21.0,-2.207,0.0
84,Mitsubishi,Montero,11.337,19.125,1.0,31.807,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0,2.428,0.0
85,Mitsubishi,Montero Sport,39.348,13.88,1.0,22.527,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0,3.672,0.0
86,Mercury,Mystique,14.351,8.8,0.0,16.24,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28.0,2.664,0.0
87,Mercury,Cougar,26.529,13.89,0.0,16.54,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0,3.278,0.0
88,Mercury,Sable,67.956,11.03,0.0,19.035,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24.0,4.219,0.0
89,Mercury,Grand Marquis,81.174,14.875,0.0,22.605,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0,4.397,0.0
90,Mercury,Mountaineer,27.609,20.43,1.0,27.56,4.0,210.0,111.6,70.2,190.1,3.876,21.0,18.0,3.318,0.0
91,Mercury,Villager,20.38,14.795,1.0,22.51,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0,3.015,0.0
92,Mercedes-Benz,C-Class,18.392,26.05,0.0,31.75,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0,2.912,0.0
93,Mercedes-Benz,E-Class,27.602,41.45,0.0,49.9,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0,3.318,0.0
94,Mercedes-Benz,S-Class,16.774,50.375,0.0,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,2.82,0.0
95,Mercedes-Benz,SL-Class,3.311,58.6,0.0,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,1.197,0.0
96,Mercedes-Benz,SLK,7.998,32.5161961583899,0.0,38.9,2.3,190.0,94.5,67.5,157.9,3.055,15.9,26.0,2.079,0.0
97,Mercedes-Benz,SLK230,1.526,34.48796321474931,0.0,41.0,2.3,185.0,94.5,67.5,157.3,2.975,14.0,27.0,0.423,0.0
98,Mercedes-Benz,CLK Coupe,11.592,31.616986262718967,0.0,41.6,3.2,215.0,105.9,67.8,180.3,3.213,16.4,26.0,2.45,0.0
99,Mercedes-Benz,CL500,0.954,65.04438807025178,0.0,85.5,5.0,302.0,113.6,73.1,196.6,4.115,23.2,20.0,-0.047,0.0
100,Mercedes-Benz,M-Class,28.976,26.245189824447156,1.0,35.3,3.2,215.0,111.0,72.2,180.6,4.387,19.0,20.0,3.366,0.0
101,Nissan,Sentra,42.643,8.45,0.0,13.499,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0,3.753,0.0
102,Nissan,Altima,88.094,11.295,0.0,20.39,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0,4.478,0.0
103,Nissan,Maxima,79.853,15.125,0.0,26.249,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25.0,4.38,0.0
104,Nissan,Quest,27.308,15.38,1.0,26.399,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0,3.307,0.0
105,Nissan,Pathfinder,42.574,17.81,1.0,29.299,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0,3.751,0.0
106,Nissan,Xterra,54.158,16.320420400707583,1.0,22.799,3.3,170.0,104.3,70.4,178.0,3.821,19.4,18.0,3.992,0.0
107,Nissan,Frontier,65.005,10.689577812282744,1.0,17.89,3.3,170.0,116.1,66.5,196.1,3.217,19.4,18.0,4.174,0.0
108,Oldsmobile,Cutlass,1.112,11.24,0.0,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,0.106,0.0
109,Oldsmobile,Intrigue,38.554,15.152316741369116,0.0,24.15,3.5,215.0,109.0,73.6,195.9,3.455,18.0,22.893150360568782,3.652,0.0
110,Oldsmobile,Alero,80.255,11.800417635044305,0.0,18.27,2.4,150.0,107.0,70.1,186.7,2.958,15.0,27.0,4.385,0.0
111,Oldsmobile,Aurora,14.69,19.89,0.0,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,2.687,0.0
112,Oldsmobile,Bravada,20.017,19.925,1.0,31.598,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19.0,2.997,0.0
113,Oldsmobile,Silhouette,24.361,15.24,1.0,25.345,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0,3.193,0.0
114,Plymouth,Neon,32.734,7.75,0.0,12.64,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0,3.488,0.0
115,Plymouth,Breeze,5.24,9.8,0.0,16.08,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27.0,1.656,0.0
116,Plymouth,Voyager,24.155,12.025,1.0,18.85,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0,3.184,0.0
117,Plymouth,Prowler,1.872,35.03933471309666,0.0,43.0,3.5,253.0,113.3,76.3,165.4,2.85,12.0,21.0,0.627,0.0
118,Pontiac,Sunfire,51.645,13.79,0.0,21.61,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0,3.944,0.0
119,Pontiac,Grand Am,131.097,10.29,0.0,19.72,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0,4.876,0.0
120,Pontiac,Firebird,19.911,17.805,0.0,25.31,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0,2.991,0.0
121,Pontiac,Grand Prix,92.364,14.01,0.0,21.665,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25.0,4.526,0.0
122,Pontiac,Bonneville,35.945,13.225,0.0,23.755,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0,3.582,0.0
123,Pontiac,Montana,39.572,16.542974185523907,1.0,25.635,3.4,185.0,120.0,72.7,201.3,3.942,25.0,23.0,3.678,0.0
124,Porsche,Boxter,8.982,41.25,0.0,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,2.195,0.0
125,Porsche,Carrera Coupe,1.28,60.625,0.0,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,0.247,0.0
126,Porsche,Carrera Cabriolet,1.866,67.55,0.0,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,0.624,0.0
127,Saab,9-5,9.191,23.788445357193883,0.0,33.12,2.3,170.0,106.4,70.6,189.2,3.28,18.5,23.0,2.218,0.0
128,Saab,9-3,12.115,19.26561305782378,0.0,26.1,2.0,185.0,102.6,67.4,182.2,2.99,16.9,23.0,2.494,0.0
129,Saturn,SL,80.62,9.2,0.0,10.685,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0,4.39,0.0
130,Saturn,SC,24.546,10.59,0.0,12.535,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0,3.201,0.0
131,Saturn,SW,5.223,10.79,0.0,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,1.653,0.0
132,Saturn,LW,8.472,11.71659304158705,0.0,18.835,2.2,137.0,106.5,69.0,190.4,3.075,13.1,27.0,2.137,0.0
133,Saturn,LS,49.989,8.481741941385822,0.0,15.01,2.2,137.0,106.5,69.0,190.4,2.91,13.1,28.0,3.912,0.0
134,Subaru,Outback,47.107,15.434929912935297,0.0,22.695,2.5,165.0,103.5,67.5,185.8,3.415,16.9,25.0,3.852,0.0
135,Subaru,Forester,33.028,14.705503284354892,1.0,20.095,2.5,165.0,99.4,68.3,175.2,3.125,15.9,24.0,3.497,0.0
136,Toyota,Corolla,142.535,10.025,0.0,13.108,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0,4.96,0.0
137,Toyota,Camry,247.994,13.245,0.0,17.518,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0,5.513,0.0
138,Toyota,Avalon,63.849,18.14,0.0,25.545,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0,4.157,0.0
139,Toyota,Celica,33.269,15.445,0.0,16.875,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0,3.505,0.0
140,Toyota,Tacoma,84.087,9.575,1.0,11.528,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0,4.432,0.0
141,Toyota,Sienna,65.119,14.588083152903133,1.0,22.368,3.0,194.0,114.2,73.4,193.5,3.759,20.9,22.0,4.176,0.0
142,Toyota,RAV4,25.106,13.325,1.0,16.888,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0,3.223,0.0
143,Toyota,4Runner,68.411,19.425,1.0,22.288,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0,4.226,0.0
144,Toyota,Land Cruiser,9.835,34.08,1.0,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,2.286,0.0
145,Volkswagen,Golf,9.761,11.425,0.0,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,2.278,0.0
146,Volkswagen,Jetta,83.721,13.24,0.0,16.7,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0,4.427,0.0
147,Volkswagen,Passat,51.102,16.725,0.0,21.2,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0,3.934,0.0
148,Volkswagen,Cabrio,9.569,16.575,0.0,19.99,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26.0,2.259,0.0
149,Volkswagen,GTI,5.596,13.76,0.0,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,1.722,0.0
150,Volkswagen,Beetle,49.463,13.277849617528597,0.0,15.9,2.0,115.0,98.9,67.9,161.1,2.769,14.5,26.0,3.901,0.0
151,Volvo,S40,16.957,17.55414580293679,0.0,23.4,1.9,160.0,100.5,67.6,176.6,2.998,15.8,25.0,2.831,0.0
152,Volvo,V40,3.545,18.693489612343495,0.0,24.4,1.9,160.0,100.5,67.6,176.6,3.042,15.8,25.0,1.266,0.0
153,Volvo,S70,15.245,19.624524780110075,0.0,27.5,2.4,168.0,104.9,69.3,185.9,3.208,17.9,25.0,2.724,0.0
154,Volvo,V70,17.531,20.566336751168194,0.0,28.8,2.4,168.0,104.9,69.3,186.2,3.259,17.9,25.0,2.864,0.0
155,Volvo,C70,3.493,34.56072054559165,0.0,45.5,2.3,236.0,104.9,71.5,185.7,3.601,18.5,23.0,1.251,0.0
156,Volvo,S80,18.969,26.099913724612467,0.0,36.0,2.9,201.0,109.9,72.1,189.8,3.6,21.1,24.0,2.943,0.0
157,Dodge,newCar,28.93499814050716,16.05295667833615,,21.5,1.5,76.0,106.3,67.9,175.0,2.932,11.9,46.0,3.1454316245167457,1.0
158,Dodge,newTruck,21.803062051535676,23.623236450361233,,34.2,3.5,167.0,109.8,75.2,188.4,4.508,17.2,26.0,2.758885078748549,1.0
